"id","tipo","rol","empleado","razon","monto","calculo_id","created_at","updated_at"
"59360","CARGO","EJECUTIVO","5536","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59361","CARGO","EJECUTIVO","6077","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59362","CARGO","EJECUTIVO","4897","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59363","CARGO","EJECUTIVO","5105","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59364","CARGO","EJECUTIVO","5959","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59365","CARGO","EJECUTIVO","5687","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59366","CARGO","EJECUTIVO","4282","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59367","CARGO","EJECUTIVO","5640","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59368","CARGO","EJECUTIVO","5853","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59369","CARGO","EJECUTIVO","5777","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59370","CARGO","EJECUTIVO","5966","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59371","CARGO","EJECUTIVO","5422","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59372","CARGO","EJECUTIVO","6067","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59373","CARGO","EJECUTIVO","5467","Charge Back","500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59374","CARGO","EJECUTIVO","5546","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59375","CARGO","EJECUTIVO","5686","Charge Back","500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59376","CARGO","EJECUTIVO","5594","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59377","CARGO","EJECUTIVO","5858","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59378","CARGO","EJECUTIVO","5605","Charge Back","433.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59379","CARGO","EJECUTIVO","5792","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59380","CARGO","EJECUTIVO","3844","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59381","CARGO","EJECUTIVO","5767","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59382","CARGO","EJECUTIVO","4605","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59383","CARGO","EJECUTIVO","973","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59384","CARGO","EJECUTIVO","4378","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59385","CARGO","EJECUTIVO","5275","Charge Back","250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59386","CARGO","EJECUTIVO","491","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59387","CARGO","EJECUTIVO","5516","Charge Back","250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59388","CARGO","EJECUTIVO","2510","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59389","CARGO","EJECUTIVO","4818","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59390","CARGO","EJECUTIVO","5657","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59391","CARGO","EJECUTIVO","6084","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59392","CARGO","EJECUTIVO","5207","Charge Back","400.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59393","CARGO","EJECUTIVO","521","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59394","CARGO","EJECUTIVO","5894","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59395","CARGO","EJECUTIVO","5776","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59396","CARGO","EJECUTIVO","5711","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59397","CARGO","EJECUTIVO","6049","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59398","CARGO","EJECUTIVO","5774","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59399","CARGO","EJECUTIVO","5578","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59400","CARGO","EJECUTIVO","5846","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59401","CARGO","EJECUTIVO","4219","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59402","CARGO","EJECUTIVO","5383","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59403","CARGO","EJECUTIVO","3507","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59404","CARGO","EJECUTIVO","6066","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59405","CARGO","EJECUTIVO","5423","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59406","CARGO","EJECUTIVO","4112","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59407","CARGO","EJECUTIVO","4128","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59408","CARGO","EJECUTIVO","5330","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59409","CARGO","EJECUTIVO","5959","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59410","CARGO","EJECUTIVO","4565","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59411","CARGO","EJECUTIVO","4240","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59412","CARGO","EJECUTIVO","5986","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59413","CARGO","EJECUTIVO","5988","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
